"YEAR";"HABITAT";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
2001;"Aquatique";"Long";0,108695652173913;0,108695652173913;0,108695652173913;0,108695652173913;0,108695652173913
2002;"Aquatique";"Long";0,0740740740740741;0,0740740740740741;0,0740740740740741;0,0740740740740741;0,0740740740740741
2003;"Aquatique";"Long";0,00531249999999998;0,053125;0,10625;0,159375;0,2071875
2005;"Aquatique";"Long";0,302294168096055;0,305960548885077;0,310034305317324;0,314108061749571;0,317774442538593
2006;"Aquatique";"Long";0,0350829519450801;0,0573512585812357;0,0820938215102975;0,106836384439359;0,129104691075515
2007;"Aquatique";"Long";0,0709618644067797;0,0994491525423729;0,132380952380952;0,299107142857143;0,688839285714286
2008;"Aquatique";"Long";0,0523051409618574;0,123051409618574;0,221178589809573;0,384921925829538;0,632831815224463
2009;"Aquatique";"Long";0,0794867947178872;0,243847539015606;0,426470588235294;0,432747489239598;0,438396700143472
2010;"Aquatique";"Long";0,20614983974359;0,280248397435897;0,365384615384615;0,442307692307692;0,494230769230769
2011;"Aquatique";"Long";0,216753611556982;0,238964686998395;0,257398322519386;0,353047975352113;0,583742297535211
2012;"Aquatique";"Long";0,0303351573187414;0,0940492476060191;0,158823529411765;0,248958333333333;0,381145833333333
2013;"Aquatique";"Long";0,030859375;0,0653505067567568;0,151965725806452;0,273750443105282;0,403199220134704
2014;"Aquatique";"Long";0,178661844484629;0,215189873417722;0,389380530973451;0,846153846153846;0,925598991172762
2015;"Aquatique";"Long";0,0591500302480339;0,198271413828689;0,282552753474009;0,519689987431923;0,959484572230014
2016;"Aquatique";"Long";0,0911172161172161;0,190934065934066;0,200805008944544;0,251544331395349;0,773587740384615
2017;"Aquatique";"Long";0,292349174250084;0,407766990291262;0,452830188679245;0,555555555555556;0,989983416252073
2018;"Aquatique";"Long";0,163281698221457;0,529411764705882;0,538461538461538;0,818181818181818;2,22692819148936
2019;"Aquatique";"Long";0,138155696625459;0,151835305481768;0,223047304730473;0,33482905982906;0,656730769230769
2020;"Aquatique";"Long";0;0;0;0;0
1997;"STOC-rozo";"Long";0,218996710526316;0,221217105263158;0,223684210526316;0,240413533834586;0,25546992481203
1998;"STOC-rozo";"Long";0,185599669148056;0,194458229942101;0,204301075268817;0,387864823348694;0,553072196620584
1999;"STOC-rozo";"Long";0,133749109052031;0,163578047042053;0,19672131147541;0,375283732660782;0,535989911727617
