"AGE_first";"YEAR";"HABITAT";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
"AD";1990;"Terrestre";-0,0933982683982684;-0,0168596006796941;0,0588235294117647;0,117305061559508;0,333333333333333
"JUV";1990;"Terrestre";-0,069281045751634;0;0,0238095238095238;0,142857142857143;0,230204962243797
"AD";1991;"Terrestre";-0,136363636363636;-0,0666666666666667;0;0,0588235294117647;0,2
"JUV";1991;"Terrestre";-0,151515151515152;-0,0909090909090909;-0,0303030303030303;0;0,11055900621118
"AD";1992;"Terrestre";-0,0954545454545455;-0,0222222222222222;0,0588235294117647;0,0810810810810811;0,163001336898396
"JUV";1992;"Terrestre";-0,0555555555555556;-0,00595238095238095;0,0238095238095238;0,0573620752648885;0,116071428571429
"AD";1993;"Terrestre";-0,2;-0,0666666666666667;-0,0222222222222222;0,0588235294117647;0,235393258426966
"JUV";1993;"Terrestre";-0,161828915810836;-0,0588235294117647;0;0,0559006211180123;0,155790568654646
"AD";1994;"Terrestre";-0,111111111111111;-0,0222222222222222;0,0454545454545455;0,0666666666666667;0,297777777777777
"JUV";1994;"Terrestre";-0,0588235294117647;-0,00465838509316777;0,0734048560135516;0,180124223602484;0,272727272727273
"AD";1995;"Terrestre";-0,2;-0,0666666666666667;0;0,0666666666666667;0,275401069518717
"JUV";1995;"Terrestre";-0,139285714285714;-0,0090579710144928;0;0,05175983436853;0,145962732919255
"AD";1996;"Terrestre";-0,117305061559508;-0,0285714285714286;0,0285714285714286;0,0771559048428208;0,233333333333333
"JUV";1996;"Terrestre";-0,117647058823529;-0,0303030303030303;0;0,0559006211180123;0,125
"AD";1997;"Terrestre";-0,111111111111111;-0,0222222222222222;0,0285714285714286;0,110771113831089;0,355411764705882
"JUV";1997;"Terrestre";-0,0476190476190476;-0,0476190476190476;0;0,0238095238095238;0,114395604395604
"AD";1998;"Terrestre";-0,117065663474692;-0,0526315789473684;0;0,0666666666666667;0,228977272727272
"JUV";1998;"Terrestre";-0,117647058823529;-0,0303030303030303;0;0,0588235294117647;0,143697478991597
"AD";1999;"Terrestre";-0,116020671834625;-0,0277992277992278;0,0294117647058824;0,0666666666666667;0,199925093632959
"JUV";1999;"Terrestre";-0,130434782608696;0;0,0588235294117647;0,117647058823529;0,273291925465838
"AD";2000;"Terrestre";-0,135135135135135;-0,0476190476190476;0;0,0666666666666667;0,235294117647059
"JUV";2000;"Terrestre";-0,142857142857143;-0,0303030303030303;0;0,0588235294117647;0,151515151515152
"AD";2001;"Terrestre";-0,133333333333333;-0,0465116279069767;0;0,0606060606060606;0,244696969696969
"JUV";2001;"Terrestre";-0,14483660130719;-0,0588235294117647;0;0,0496894409937886;0,163129374576654
"AD";2002;"Terrestre";-0,158878504672897;-0,0526315789473684;0;0,0588235294117647;0,205882352941176
"JUV";2002;"Terrestre";-0,142857142857143;-0,0528594771241829;0;0,048081368469718;0,150658761528326
"AD";2003;"Terrestre";-0,166666666666667;-0,0545454545454545;0;0,0577429149797571;0,235294117647059
"JUV";2003;"Terrestre";-0,156194295900178;-0,0588235294117647;0;0,0476190476190476;0,151515151515152
"AD";2004;"Terrestre";-0,142857142857143;-0,0555555555555556;0;0,0555555555555556;0,214953271028037
"JUV";2004;"Terrestre";-0,146341463414634;-0,0556418219461698;0;0,0555555555555556;0,160182225063938
"AD";2005;"Terrestre";-0,136363636363636;-0,0454545454545455;0;0,0588235294117647;0,235294117647059
"JUV";2005;"Terrestre";-0,142857142857143;-0,0476190476190476;0;0,0559006211180123;0,151515151515152
"AD";2006;"Terrestre";-0,147560160427808;-0,0454545454545455;0;0,0588235294117647;0,21468253968254
"JUV";2006;"Terrestre";-0,147058823529412;-0,0555555555555556;0;0,0559006211180123;0,16504854368932
"AD";2007;"Terrestre";-0,133333333333333;-0,0454545454545455;0;0,0625;0,221813725490196
"JUV";2007;"Terrestre";-0,151515151515152;-0,0461538461538462;0;0,0588235294117647;0,176470588235294
"AD";2008;"Terrestre";-0,142857142857143;-0,0454545454545455;0;0,0588235294117647;0,215444023569023
"JUV";2008;"Terrestre";-0,159737446958982;-0,0555555555555556;0;0,0476190476190476;0,166666666666667
"AD";2009;"Terrestre";-0,146794117647059;-0,0476190476190476;0;0,0568181818181818;0,214814814814815
"JUV";2009;"Terrestre";-0,147058823529412;-0,0588235294117647;0;0,0476190476190476;0,149068322981366
"AD";2010;"Terrestre";-0,142857142857143;-0,0454545454545455;0;0,0588235294117647;0,219649122807017
"JUV";2010;"Terrestre";-0,146753945480631;-0,0555555555555556;0;0,0476190476190476;0,151515151515152
"AD";2011;"Terrestre";-0,136363636363636;-0,0526315789473684;0;0,0526315789473684;0,2
"JUV";2011;"Terrestre";-0,142857142857143;-0,0476190476190476;0;0,0454545454545455;0,142857142857143
"AD";2012;"Terrestre";-0,133333333333333;-0,0434782608695652;0;0,0588235294117647;0,20602495543672
"JUV";2012;"Terrestre";-0,142857142857143;-0,0555555555555556;0;0,0372670807453415;0,145168067226891
"AD";2013;"Terrestre";-0,131856060606061;-0,0380761523046092;0;0,0666666666666667;0,235294117647059
"JUV";2013;"Terrestre";-0,142857142857143;-0,0476190476190476;0;0,0514742628685657;0,169236390208257
"AD";2014;"Terrestre";-0,142857142857143;-0,044409282700422;0;0,0545454545454545;0,212034632034632
"JUV";2014;"Terrestre";-0,142857142857143;-0,0461538461538462;0;0,0559006211180123;0,155643677487402
"AD";2015;"Terrestre";-0,142857142857143;-0,0453268641470889;0;0,0571428571428571;0,227272727272727
"JUV";2015;"Terrestre";-0,148425925925926;-0,0484848484848485;0;0,0476190476190476;0,147058823529412
"AD";2016;"Terrestre";-0,144785087719298;-0,0454545454545455;0;0,0533522727272728;0,2
"JUV";2016;"Terrestre";-0,147058823529412;-0,0555555555555556;0;0,0380952380952381;0,133333333333333
"AD";2017;"Terrestre";-0,156579391891892;-0,0518518518518519;0;0,0465116279069767;0,2
"JUV";2017;"Terrestre";-0,148148148148148;-0,0588235294117647;-0,00621118012422369;0,0357142857142857;0,142857142857143
"AD";2018;"Terrestre";-0,145909090909091;-0,0484848484848485;0;0,05;0,215574553950722
"JUV";2018;"Terrestre";-0,142857142857143;-0,0537774725274725;0;0,0372670807453415;0,149068322981366
"AD";2019;"Terrestre";-0,145085921012964;-0,0476190476190476;0;0,0533333333333334;0,231884057971014
"JUV";2019;"Terrestre";-0,142857142857143;-0,0529411764705882;0;0,0470588235294118;0,149068322981366
"AD";2020;"Terrestre";-0,147058823529412;-0,0488269794721408;0;0,0533333333333334;0,205882352941176
"JUV";2020;"Terrestre";-0,148148148148148;-0,0476190476190476;0;0,0529411764705882;0,142857142857143
