"SP";"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
"AEGCAU";1996;"AD";"Court";9,08014777980109;9,13205631040762;9,18973245552598;9,24740860064435;9,29931713125088;"Terrestre"
"ERIRUB";1996;"AD";"Court";13,8833333333333;15,7837837837838;16,5466666666667;17,2894736842105;19,5059627329193;"Terrestre"
"FRICOE";1996;"AD";"Court";20,190733804966;21,2754791804362;23,65;24,1219512195122;24,3750828063836;"Terrestre"
"PARCAE";1996;"AD";"Court";10,047619047619;10,4160830999066;10,6716417910448;10,907249466951;11,1675223214286;"Terrestre"
"PARMAJ";1996;"AD";"Court";16,0382911392405;17,4067475009256;18,0128091086995;18,7810430463576;21,3181506849315;"Terrestre"
"PHYCOL";1996;"AD";"Court";6,37314935064935;6,77049180327869;7,61290322580645;7,76507887411073;8,52956896551724;"Terrestre"
"PRUMOD";1996;"AD";"Court";18,1071594968163;19,1137998691956;20,1515151515152;20,2898550724638;24,134328358209;"Terrestre"
"PYRULA";1996;"AD";"Court";22,1488235294118;23,0117647058824;23,9705882352941;24,7196691176471;25,3938419117647;"Terrestre"
"SYLATR";1996;"AD";"Court";15,0163907284768;16,0855172413793;16,9277235921973;18,0025337837838;19,91469949836;"Terrestre"
"TROTRO";1996;"AD";"Court";8,64705882352941;9;10;10,5686274509804;11,7137254901961;"Terrestre"
"TURMER";1996;"AD";"Court";72,3179270038168;85,5827082295817;89,947265625;93,7822265625;99,390877016129;"Terrestre"
"TURPHI";1996;"AD";"Court";65,6;66;66;67;69,3307692307692;"Terrestre"
"AEGCAU";1997;"AD";"Court";11;11;11;11;11;"Terrestre"
"ERIRUB";1997;"AD";"Court";16;16;16;16;16;"Terrestre"
"FRICOE";1997;"AD";"Court";20,3651435705368;21,0222222222222;22,0243902439024;22,1935483870968;22,9852084972463;"Terrestre"
"PHYCOL";1997;"AD";"Court";7,56272727272727;8,04545454545455;8,58181818181818;9,85694682675815;11,0045626072041;"Terrestre"
"PRUMOD";1997;"AD";"Court";17,5554577464789;18,9189189189189;19,0971406188797;19,8245745745746;20,5740740740741;"Terrestre"
"SYLATR";1997;"AD";"Court";15,7010469798658;16,7718120805369;17,3541666666667;19,6;22,028582781457;"Terrestre"
"TROTRO";1997;"AD";"Court";9,09278350515464;9,09278350515464;9,09278350515464;9,09278350515464;9,09278350515464;"Terrestre"
"TURMER";1997;"AD";"Court";76,8393536121673;83,3549360795455;87,65625;94,2794466403162;102,158827674464;"Terrestre"
"TURPHI";1997;"AD";"Court";62,8688524590164;62,8688524590164;63,0689655172414;64,0344827586207;69,7655737704918;"Terrestre"
"ERIRUB";1998;"AD";"Court";15,8166666666667;16,1126126126126;16,4539682539683;17,0142857142857;17,9014285714286;"Terrestre"
"FRICOE";1998;"AD";"Court";20,5072058823529;21,2470588235294;22,0243902439024;22,0243902439024;25,1357723577236;"Terrestre"
"PARCAE";1998;"AD";"Court";11,171875;11,171875;11,171875;11,171875;11,171875;"Terrestre"
"PARMAJ";1998;"AD";"Court";16,2162162162162;16,2162162162162;16,3873288873289;16,5584415584416;16,5584415584416;"Terrestre"
"PHYCOL";1998;"AD";"Court";6,71544715447155;6,74296947887512;6,88333333333333;7,64814814814815;8,04298850574713;"Terrestre"
"PRUMOD";1998;"AD";"Court";15,8666666666667;16,9890873015873;18,2608695652174;19,7887323943662;22,0092710997442;"Terrestre"
"PYRULA";1998;"AD";"Court";21,2139705882353;22,0529411764706;22,5323529411765;23,6431850789096;27,0496760670732;"Terrestre"
"SYLATR";1998;"AD";"Court";14,8860759493671;15,8918918918919;16,2272727272727;17,1164383561644;19,1262276360868;"Terrestre"
"TROTRO";1998;"AD";"Court";9,65287990196078;10,0582107843137;10,2083333333333;10,40625;10,940625;"Terrestre"
"TURMER";1998;"AD";"Court";79,2045454545455;85,2361111111111;90,2436534706196;97,3282442748092;105,455152671756;"Terrestre"
"TURPHI";1998;"AD";"Court";56,0983606557377;58,0408469945355;59,9833333333333;68,4756097560976;75,3335524920467;"Terrestre"
"AEGCAU";1999;"AD";"Court";8,16568181818182;8,38989028213166;8,60989583333333;8,71428571428572;8,90021551724138;"Terrestre"
"ERIRUB";1999;"AD";"Court";14,9296489104116;15,8372881355932;16;16,4507042253521;18,3639322421013;"Terrestre"
"FRICOE";1999;"AD";"Court";20,1815060240964;20,7228915662651;21,5;22,3415404040404;24,6993763858093;"Terrestre"
"PARCAE";1999;"AD";"Court";10,0483870967742;10,4838709677419;10,5147058823529;12;12;"Terrestre"
"PARMAJ";1999;"AD";"Court";17,7979166666667;18,6041666666667;19,5;19,75;19,975;"Terrestre"
"PHYCOL";1999;"AD";"Court";6,26548672566372;6,88333333333333;7,64485245901639;7,9;8,87922169811321;"Terrestre"
"PRUMOD";1999;"AD";"Court";17;17,0067567567568;17,5;17,9932432432432;19,8758992805755;"Terrestre"
"PYRULA";1999;"AD";"Court";19,8169845094664;21,4228571428571;22,4125;22,6388888888889;25,5212059620596;"Terrestre"
"SYLATR";1999;"AD";"Court";15,4152727272727;16,66;17,64;18,9;21,4085304054054;"Terrestre"
"TROTRO";1999;"AD";"Court";9,39340425531915;9,48723404255319;9,59148936170213;9,69574468085106;9,7895744680851;"Terrestre"
"TURMER";1999;"AD";"Court";79,3987100290698;84,66796875;87,65625;92,4618320610687;104,308641975309;"Terrestre"
"TURPHI";1999;"AD";"Court";61,6168477146956;62,8575527772085;70,4530571333111;78,3972602739726;80,5794520547945;"Terrestre"
"AEGCAU";2000;"AD";"Court";7,52324380165289;8,1;8,36290322580645;9,34519286966686;10;"Terrestre"
"CETCET";2000;"AD";"Court";11,6298548094374;12,8421052631579;14;14,758064516129;15,6669738863287;"Terrestre"
"ERIRUB";2000;"AD";"Court";14,63;16,2222222222222;16,8057553956835;17,7946680080483;21,437323943662;"Terrestre"
"FRICOE";2000;"AD";"Court";21,3683843471523;21,9894308943089;22,343031968032;22,6826765188834;26,3688091822095;"Terrestre"
"PARCAE";2000;"AD";"Court";10,070479384004;10,8333333333333;10,9963235294118;11,298828125;12,2390873015873;"Terrestre"
"PARMAJ";2000;"AD";"Court";15,925;17;17,3913043478261;18,256237006237;20,2601867572156;"Terrestre"
"PASDOM";2000;"AD";"Court";28,5;28,5;28,5;28,5;28,5;"Terrestre"
"PHYCOL";2000;"AD";"Court";6,55555555555556;7,12068965517241;7,73770491803279;8,28070175438597;9,83333333333333;"Terrestre"
"PRUMOD";2000;"AD";"Court";17,6405797101449;18,6687352245863;19,2753623188406;19,9253731343284;21,449604743083;"Terrestre"
"PYRULA";2000;"AD";"Court";19,2030233739837;19,8090277777778;21,2374338624339;22,5413780120482;25,0260021097046;"Terrestre"
"SYLATR";2000;"AD";"Court";15,2047322540473;16,4407894736842;17,3541666666667;18,375;21;"Terrestre"
"TROTRO";2000;"AD";"Court";8,5625;9,45864790665751;10;10,8975365619755;12,0620967741935;"Terrestre"
"TURMER";2000;"AD";"Court";75,4443644662921;83,675444015444;87,6991088180113;91,6708096590909;99,4830985482283;"Terrestre"
"TURPHI";2000;"AD";"Court";60,2695652173913;64,0161943319838;66,695652173913;71,8260869565217;80,7435344827586;"Terrestre"
"AEGCAU";2001;"AD";"Court";7,18300847457627;7,87096774193548;8;8,25309322033898;8,59642857142857;"Terrestre"
"CETCET";2001;"AD";"Court";12,4422100605496;14,1490015360983;15,1516129032258;16,0387596899225;16,6397177419355;"Terrestre"
"ERIRUB";2001;"AD";"Court";14,7972972972973;16,2222222222222;16,963768115942;17,9585181898846;22,6138970588235;"Terrestre"
"FRICOE";2001;"AD";"Court";19,3311727335165;20,3696928071928;21,2464974337634;22,0182926829268;23,7395833333333;"Terrestre"
"PARCAE";2001;"AD";"Court";10,1219190140845;10,4838709677419;11,171875;11,6417910447761;15,1282649253731;"Terrestre"
"PARMAJ";2001;"AD";"Court";15,45618938024;16,5584415584416;17,363523573201;18,3973261327713;20,7110507246377;"Terrestre"
"PASDOM";2001;"AD";"Court";25,5913490853659;26,5420768870136;27,109748427673;27,6759259259259;30,3978343949045;"Terrestre"
"PHYCOL";2001;"AD";"Court";6,47004013761468;7,34439834024896;7,76315789473684;8,42857142857143;9,83333333333333;"Terrestre"
